City,Latitude,Longitude
서울,37.5665,126.978
부산,35.1796,129.0756
대구,35.8722,128.6025
인천,37.4563,126.7052
광주,35.1595,126.8526
대전,36.3504,127.3845
울산,35.5384,129.3114
세종,36.48,127.2892
수원,37.2636,127.0286
성남,37.4202,127.1265
고양,37.6584,126.832
용인,37.2411,127.1776
창원,35.228,128.6811
청주,36.6424,127.489
전주,35.8213,127.148
천안,36.8151,127.1139
안산,37.3219,126.8309
안양,37.3943,126.9568
남양주,37.636,127.2165
부천,37.5045,126.763
화성,37.1995,126.831
포항,36.019,129.3435
김해,35.2278,128.8898
평택,36.9947,127.0886
진주,35.1802,128.1076
원주,37.3422,127.9203
아산,36.7926,127.0034
익산,35.9483,126.9576
춘천,37.8813,127.7298
경산,35.8251,128.742
군포,37.3625,126.9353
강릉,37.7519,128.8761
양산,35.323,129.0193
광명,37.4772,126.8664
구미,36.1195,128.3446
순천,34.9507,127.4875
김포,37.6151,126.7158
의정부,37.7381,127.0336
시흥,37.38,126.8022
광주(경기),37.4092,127.255
음성,36.9402,127.6889
동두천,37.9012,127.0602
목포,34.8118,126.3922
속초,38.207,128.5911
사천,35.0039,128.0641
오산,37.1452,127.071
여수,34.7604,127.6622
경주,35.8562,129.2247
군산,35.9677,126.7365
서산,36.7847,126.4504
의왕,37.3446,126.968
파주,37.7599,126.775
양주,37.7853,127.0456
하남,37.5393,127.2142
김천,36.1393,128.1136
정읍,35.5686,126.8514
충주,36.9707,127.931
거제,34.8806,128.621
나주,35.0303,126.717
안동,36.5664,128.725
제천,37.1326,128.1937
보령,36.3505,126.5953
공주,36.446,127.119
문경,36.5864,128.1873
상주,36.4154,128.1609
영천,35.9735,128.9368
영주,36.8057,128.6242
논산,36.1994,127.098
광양,34.9407,127.6959
포천,37.8946,127.2002
이천,37.2799,127.446
양평,37.4919,127.487
홍성,36.601,126.6612
예산,36.678,126.8441
정선,37.3801,128.6602
삼척,37.4449,129.1659
태백,37.164,128.9855
영광,35.2774,126.5097
고흥,34.6073,127.2875
남해,34.837,127.8924
통영,34.8544,128.433
고성,34.973,128.3227
양양,38.0749,128.6283
철원,38.1468,127.3135
연천,38.0955,127.075
화천,38.105,127.7089
인제,38.0667,128.1708
거창,35.6864,127.9096
합천,35.5665,128.1657
밀양,35.503,128.7482
함안,35.2726,128.4035
창녕,35.5438,128.4931
청도,35.6486,128.7355
의성,36.3525,128.6972
예천,36.6558,128.4521
봉화,36.8932,128.7323
울진,37.0621,129.4001
영동,36.175016,127.783313
남원,35.416349,127.390392
곡성,35.282017,127.292031
