City,서울,부산,대구,인천,광주,대전,울산,세종,수원,성남,고양,용인,창원,청주,전주,천안,안산,안양,남양주,부천,화성,포항,김해,평택,진주,원주,아산,익산,춘천,경산,군포,강릉,양산,광명,구미,순천,김포,의정부,시흥,광주(경기),음성,동두천,목포,속초,사천,오산,여수,경주,군산,서산,의왕,파주,양주,하남,김천,정읍,충주,거제,나주,안동,제천,보령,공주,문경,상주,영천,영주,논산,광양,포천,이천,양평,홍성,예산,정선,삼척,태백,영광,고흥,남해,통영,고성,양양,철원,연천,화천,인제,거창,합천,밀양,함안,창녕,청도,의성,예천,봉화,울진,영동,남원,곡성
서울,0.0,50.0,50.0,27.042700298442366,50.0,50.0,50.0,50.0,33.914604478448034,20.88326630803012,16.43802940876755,40.20662699696554,50.0,50.0,50.0,50.0,30.106676392343434,19.20366917375657,22.429116663352236,20.210019963586966,42.761397808487736,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,22.954186386344038,50.0,50.0,13.984190690929358,50.0,50.0,23.776968325343596,19.667697163688132,25.889628790949267,30.082073402320752,50.0,37.84888293387075,50.0,50.0,50.0,47.47808088418781,50.0,50.0,50.0,50.0,24.643725864791225,27.95671965637552,25.006188406390425,21.088538583484617,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,41.34990374813675,50.0,45.74646461055846,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
부산,50.0,0.0,50.0,50.0,50.0,50.0,45.21019247495992,50.0,50.0,50.0,50.0,50.0,36.32273978815197,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,17.744158571560803,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,16.714255543573152,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,46.617868144175844,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
대구,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,13.642484219752792,50.0,50.0,50.0,50.0,35.96842470292885,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,32.196715779896664,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,43.03460879623643,50.0,37.75816277414817,27.57134730259337,50.0,50.0,50.0,50.0,50.0,50.0,50.0
인천,27.042700298442366,50.0,50.0,0.0,50.0,50.0,50.0,50.0,35.75215658354008,37.49892043312595,25.073097457908432,48.19105518211581,50.0,50.0,50.0,50.0,18.61204813502749,23.308828782837136,49.39004351099146,7.399570203044378,30.60383960999862,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,22.877158868022498,50.0,50.0,14.447920770874301,50.0,50.0,17.649730525058967,42.65320128373477,12.059864584598401,48.939784476561464,50.0,50.0,50.0,50.0,50.0,47.370020259752124,50.0,50.0,50.0,50.0,26.365379450676013,34.255278710195704,47.2912590830531,45.942813350078936,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
광주,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.388654189346326,50.0,50.0,18.929703866002537,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,33.84875884883388,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,42.25281091591281
대전,50.0,50.0,50.0,50.0,50.0,0.0,50.0,16.729560783308262,50.0,50.0,50.0,50.0,50.0,33.72826950462804,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,26.073209071976432,50.0,50.0,50.0,50.0,30.714749156107402,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,40.78183008369008,50.0,50.0
울산,50.0,45.21019247495992,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,35.70281825302369,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,36.12356253045463,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
세종,50.0,50.0,50.0,50.0,50.0,16.729560783308262,50.0,0.0,50.0,50.0,50.0,50.0,50.0,25.39070344012059,50.0,40.35525587374507,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,43.0891947170043,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,15.715271344475314,50.0,50.0,50.0,50.0,35.55477584707911,50.0,50.0,50.0,50.0,50.0,45.49401396986324,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
수원,33.914604478448034,50.0,50.0,35.75215658354008,50.0,50.0,50.0,50.0,0.0,19.42484795574957,47.14333058684064,13.45257037871692,50.0,50.0,50.0,50.0,18.685894131866544,15.839975312233793,44.5499661157186,35.61056157149188,18.92332529224224,50.0,50.0,30.31507135907705,50.0,50.0,50.0,50.0,50.0,50.0,13.743419509415821,50.0,50.0,27.72019889869311,50.0,50.0,47.834893891039975,50.0,23.86569755651239,25.76139858492828,50.0,50.0,50.0,50.0,50.0,13.66866788684863,50.0,50.0,50.0,50.0,10.472731640583358,50.0,50.0,34.73222249892233,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,37.0649749631806,47.85784172164555,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
성남,20.88326630803012,50.0,50.0,37.49892043312595,50.0,50.0,50.0,50.0,19.42484795574957,0.0,37.09939297412268,20.38658096250403,50.0,50.0,50.0,50.0,28.365386946129444,15.296847496159339,25.237723570904553,33.492131388593975,35.86331402413096,50.0,50.0,47.342336228239326,50.0,50.0,50.0,50.0,50.0,50.0,18.101978351096793,50.0,50.0,23.8687890202441,50.0,50.0,42.26308562022943,36.22494520294368,29.05906633109024,11.440904918021857,50.0,50.0,50.0,50.0,50.0,30.9146138309252,50.0,50.0,50.0,50.0,16.353828513996,48.83890612224853,41.146955851714765,15.326450643933509,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,32.3081762913632,32.873718406015676,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
