구분,설치장소,관리기관,관리기관 전화번호,데이터 기준일자
1,동소문로2길 입구. 한성대입구역 분수광장,서울특별시 성북구청,02-2241-4418,2021-09-28
2,한성대입구 중앙버스정류장 (혜화역 - 길음역) 08-010,서울특별시 성북구청,02-2241-4418,2021-09-28
3,한성대입구 중앙버스정류장 (혜화역 - 길음역) 08-010,서울특별시 성북구청,02-2241-4418,2021-09-28
4,한성대입구 중앙버스정류장 (혜화역 - 길음역) 08-010,서울특별시 성북구청,02-2241-4418,2021-09-28
5,한성대입구 중앙버스정류장 (길음역 - 혜화역) 08-009,서울특별시 성북구청,02-2241-4418,2021-09-28
6,한성대입구 중앙버스정류장 (길음역 - 혜화역) 08-009,서울특별시 성북구청,02-2241-4418,2021-09-28
7,한성대입구 중앙버스정류장 (길음역 - 혜화역) 08-009,서울특별시 성북구청,02-2241-4418,2021-09-28
8,한성대입구 중앙버스정류장 (길음역 - 혜화역) 08-009,서울특별시 성북구청,02-2241-4418,2021-09-28
9,성북로5. 한성대입구역 5번출구,서울특별시 성북구청,02-2241-4418,2021-09-28
10,보문로168. 성북구청 바람마당,서울특별시 성북구청,02-2241-4418,2021-09-28
11,성신여대입구 중앙버스정류장 (미아리고개 - 한성대입구) 08-007,서울특별시 성북구청,02-2241-4418,2021-09-28
12,성신여대입구 중앙버스정류장 (미아리고개 - 한성대입구) 08-007,서울특별시 성북구청,02-2241-4418,2021-09-28
13,성신여대입구 중앙버스정류장 (미아리고개 - 한성대입구) 08-007,서울특별시 성북구청,02-2241-4418,2021-09-28
14,성신여대입구 중앙버스정류장  (한성대입구 - 미아리고개) 08-008,서울특별시 성북구청,02-2241-4418,2021-09-28
15,성신여대입구 중앙버스정류장 (한성대입구 - 미아리고개) 08-008,서울특별시 성북구청,02-2241-4418,2021-09-28
16,성신여대입구 중앙버스정류장 (한성대입구 - 미아리고개) 08-008,서울특별시 성북구청,02-2241-4418,2021-09-28
17,아리랑로8.  성신여대입구역 마을버스정류장 (08-270). 베스트웨스턴 아리랑호텔,서울특별시 성북구청,02-2241-4418,2021-09-28
18,아리랑로7-1. 성신여대입구역 버스정류장 (08-269). 농협,서울특별시 성북구청,02-2241-4418,2021-09-28
19,정릉로44길 입구. 돈암삼성아파트입구 버스정류장 (08-123),서울특별시 성북구청,02-2241-4418,2021-09-28
20,정릉로394. 돈암1동주민센터 버스정류장 (08-125),서울특별시 성북구청,02-2241-4418,2021-09-28
21,미아리고개 중앙버스정류장 (길음뉴타운 - 성신여대입구) 08-005,서울특별시 성북구청,02-2241-4418,2021-09-28
22,미아리고개 중앙버스정류장 (길음뉴타운 - 성신여대입구) 08-005,서울특별시 성북구청,02-2241-4418,2021-09-28
23,미아리고개 중앙버스정류장 (성신여대입구 - 길음뉴타운) 08-006,서울특별시 성북구청,02-2241-4418,2021-09-28
24,미아리고개 중앙버스정류장 (성신여대입구 - 길음뉴타운) 08-006,서울특별시 성북구청,02-2241-4418,2021-09-28
25,성북로165. 서울다원학교 버스정류장 (08-223),서울특별시 성북구청,02-2241-4418,2021-09-28
26,정릉로31길 30. 숭덕초교 버스정류장 (08-120). 정릉1치안센터,서울특별시 성북구청,02-2241-4418,2021-09-28
27,정릉로 282. 숭덕초교 버스정류장 (08-119). 정릉교회,서울특별시 성북구청,02-2241-4418,2021-09-28
28,정릉로 26길 1. 정릉2동주민센터 버스정류장 (08-117),서울특별시 성북구청,02-2241-4418,2021-09-28
29,보국문로6 맞은 편 광장. 정릉우체국앞 버스정류장 (08-169),서울특별시 성북구청,02-2241-4418,2021-09-28
30,정릉로161. 고려사대부고 버스정류장 (08-114),서울특별시 성북구청,02-2241-4418,2021-09-28
31,정릉로9길 입구. 청덕초교 버스정류장 (08-112),서울특별시 성북구청,02-2241-4418,2021-09-28
