찾은장소명,성북천 분수광장,한성대입구 중앙버스정류장,한성대입구역 4호선 5번출구,성북구청,성신여대입구 버스정류장,아리랑힐호텔 동대문,성신필약국,돈암삼성아파트,돈암1동주민센터,미아리고개 버스정류장,신원그린빌라,정릉1치안센터,정릉2동 주민센터,정릉우체국,고려대학교 사범대학 부속고등학교,청덕초교,국민대학교,북악중학교,정릉파출소,경국사,힐링마사지,레벨업PC방 돌곶이점,세븐일레븐 상월곡역점,강경불고기 성북월곡점,레디언트원공인중개사,프린트카페 길음점,가화회센터,서울종암경찰서,숭례초교,동신아파트,봄꽃뷰티,리안헤어 종암하월곡점,GS25 월곡사거리점,행복한세탁소,새종암새마을금고 제1지점,우리네흑염소삼계탕추어탕,홈플러스익스프레스 보문점,차세대고속관광,이철환치과의원,엘와이엔치과,알파 고대안암점,미스터국밥,이마트24 성북장위점,북서울새마을금고 본점,참누리아파트,아리랑시네센터 아리랑인디웨이브,돈암일신건영휴먼빌아파트,돈암시장입구,식자재유통센터,행복나눔,세븐일레븐 성북홍익점,올리브영 돈암중앙점,커스텀요거트,포앤시드니 성신여대점,길음역 4호선 10번출구,갈비명가이상 길음신관,한중인력개발,이철헤어커커 길음뉴타운점,CGV 성신여대입구,하나은행 돈암금융센터지점,KB당구클럽,피자빨간 고추 본점,우리은행 석계역지점,고려대역 6호선,안암오거리,폴라리스 안경원,한마음한방병원,길음중앙새마을금고 본점,성북제일새마을금고 본점,GS더프레시 길음뉴타운점,GS더프레시 보문역사거리점,안암고대병원,동성온누리약국,KB국민은행 종암동종합금융센터,길음역 공항버스정류장,길음뉴타운 버스정류장,이마트24 뉴월곡역점,김인식내과의원,투썸플레이스 종암점,성북문화원,뚜레쥬르 아리랑삼거리점,정릉역1번출구,김가풍정형외과의원,이마트 하월곡점,석계역 4번출구,그리다,바람소리색소폰드럼동호회,제일한의원,배스킨라빈스 보문역점,종암SK아파트,코오롱아파트,CU 종암SK2차점,정릉어울림마당 개방화장실
성북천 분수광장,0,104,113,888,1066,1068,1016,1896,2419,3152,1502,1905,1872,1994,2449,2714,2655,2117,3107,2968,5071,5068,4278,3415,5055,2444,2661,2737,2567,3096,3281,2951,3622,2737,2802,1413,1544,1391,1122,1850,2102,2110,4676,4847,5416,1482,1487,893,719,581,724,1156,1131,1174,2456,2419,2445,2939,1051,948,4686,5562,5859,2618,2099,2031,2724,2665,2338,2377,1096,1760,2204,2687,2183,2249,3406,1903,2709,192,1700,1758,3256,2840,6061,1200,3800,1140,1165,3075,5573,2866,2735
한성대입구 중앙버스정류장,104,0,160,815,970,968,917,1794,2316,3083,1527,1805,1781,1902,2383,2650,2601,2052,3023,2892,4974,4971,4182,3321,4957,2340,2558,2638,2482,2996,3177,2848,3519,2645,2705,1394,1535,1375,1079,1838,2046,2055,4575,4744,5312,1381,1389,801,630,563,706,1060,1048,1088,2352,2316,2341,2836,956,853,4586,5467,5762,2547,2062,1980,2625,2563,2234,2274,1056,1703,2154,2605,2080,2145,3311,1799,2614,177,1602,1660,3158,2738,5964,1096,3704,1038,1131,2980,5483,2769,2656
한성대입구역 4호선 5번출구,113,160,0,975,1121,1114,1062,1931,2445,3243,1390,1888,1830,1956,2371,2634,2566,2037,3050,2901,5121,5119,4331,3473,5103,2461,2663,2781,2640,3138,3301,2981,3645,2799,2852,1525,1657,1504,1228,1963,2202,2211,4713,4873,5437,1469,1464,957,788,476,618,1211,1207,1247,2476,2442,2466,2959,1109,1005,4725,5617,5911,2707,2207,2134,2771,2656,2349,2381,1203,1859,2308,2764,2209,2267,3461,1910,2765,109,1677,1734,3303,2873,6113,1219,3855,1171,1274,3130,5639,2918,2673
성북구청,888,815,975,0,406,478,460,1223,1777,2269,2284,1619,1791,1873,2635,2906,2947,2339,3055,3024,4258,4253,3461,2581,4253,1858,2165,1975,1694,2341,2643,2264,2963,1895,2011,849,1045,856,423,1291,1256,1270,3923,4153,4741,1235,1318,251,254,1265,1389,461,277,329,1850,1800,1830,2315,360,325,3930,4730,5038,1732,1350,1208,1948,2249,1801,1891,437,913,1383,1806,1551,1665,2585,1432,1890,966,1495,1548,2473,2137,5239,783,2977,648,534,2258,4710,2062,2757
성신여대입구 버스정류장,1066,970,1121,406,0,88,108,862,1411,2252,2266,1222,1428,1499,2322,2589,2662,2046,2677,2669,4004,4001,3212,2353,3989,1475,1767,1675,1547,2037,2281,1920,2611,1680,1736,1208,1409,1223,785,1624,1375,1400,3621,3819,4400,858,956,196,368,1265,1360,90,275,265,1472,1426,1454,1947,48,122,3630,4497,4792,1707,1576,1365,1659,1844,1406,1490,812,1059,1532,1685,1178,1279,2341,1027,1645,1072,1115,1165,2192,1800,4994,399,2734,259,904,2010,4523,1799,2397
아리랑힐호텔 동대문,1068,968,1114,478,88,0,52,836,1378,2310,2216,1142,1341,1413,2234,2501,2575,1959,2592,2582,4007,4005,3217,2366,3990,1432,1712,1670,1584,2029,2248,1896,2581,1700,1738,1293,1494,1308,869,1711,1455,1480,3610,3796,4373,772,868,245,399,1224,1313,131,363,350,1433,1389,1417,1911,134,162,3620,4505,4797,1767,1662,1448,1657,1780,1355,1432,894,1142,1613,1726,1144,1236,2350,964,1656,1058,1030,1081,2190,1780,4999,313,2743,174,987,2019,4543,1805,2310
성신필약국,1016,917,1062,460,108,52,0,885,1425,2354,2169,1160,1342,1419,2223,2491,2559,1944,2599,2582,4060,4058,3270,2418,4042,1475,1749,1721,1634,2080,2294,1945,2629,1752,1791,1289,1489,1301,862,1713,1484,1508,3660,3845,4421,778,869,215,357,1175,1265,175,377,371,1477,1434,1462,1956,144,135,3671,4558,4850,1810,1680,1473,1709,1812,1395,1468,885,1167,1640,1775,1190,1278,2402,997,1709,1005,1038,1090,2242,1829,5051,323,2795,190,979,2072,4595,1857,2311
돈암삼성아파트,1896,1794,1931,1223,862,836,885,0,554,1972,2849,883,1286,1275,2258,2489,2662,2077,2296,2408,3214,3215,2437,1635,3188,650,1005,868,1091,1212,1422,1060,1749,1042,968,1840,2033,1870,1482,2156,1529,1568,2782,2960,3539,842,971,1057,1229,1946,2000,780,968,917,633,580,610,1092,894,982,2794,3730,4008,1491,1895,1595,871,1158,637,770,1524,1358,1709,1258,333,472,1596,488,946,1862,961,973,1392,945,4209,741,1980,760,1595,1275,3821,1049,2135
돈암1동주민센터,2419,2316,2445,1777,1411,1378,1425,554,0,2072,3230,968,1393,1329,2294,2485,2714,2188,2104,2298,2788,2792,2044,1357,2747,191,575,556,1186,795,870,543,1205,964,714,2361,2548,2394,2024,2642,1914,1955,2291,2428,2998,1153,1254,1606,1775,2403,2435,1332,1521,1469,132,76,97,537,1445,1530,2307,3323,3580,1687,2317,2003,603,805,327,479,2067,1811,2086,1342,236,231,1286,636,813,2368,1149,1132,1012,459,3779,1228,1630,1280,2133,1016,3484,808,2043
미아리고개 버스정류장,3152,3083,3243,2269,2252,2310,2354,1972,2072,0,4513,2852,3257,3245,4230,4458,4634,4042,4172,4340,2675,2654,1994,1313,2730,2263,2625,1619,898,1740,2393,2030,2484,1134,1470,2044,2094,2089,2090,1922,1115,1126,2728,3186,3762,2770,2903,2343,2482,3499,3605,2179,2064,2036,2201,2148,2166,2290,2237,2330,2712,2979,3324,545,1385,1231,1549,2871,2383,2542,2131,1422,1104,734,2075,2225,1418,2450,1294,3233,2928,2944,1632,1926,3508,2472,1613,2388,2104,1335,2748,1401,4074
